japanese,english,notes,tags
<adj>大切な</><noun>物</>,Important thing,-な adjective + noun,jlpt-n5-adjective-conjunction
<adj>静かな</><noun>人</>,Quiet person,-な adjective + noun,jlpt-n5-adjective-conjunction
<adj>静かな</><noun>部屋</>,Quiet room,-な adjective + noun,jlpt-n5-adjective-conjunction
<det>あの</><noun>部屋</><obj>は</><adj>静か</>,That room is quiet,-な adjective alone drops -な,jlpt-n5-adjective-conjunction
<adj>かわい</><adv>くない</>,Not cute,-い adjective negation,jlpt-n5-adjective-conjunction
<noun>ノート</><obj>を</><verb>買った</>,I bought a notebook,past tense,jlpt-n5-adjective-conjunction
<adj>かわい</><verb>かった</>,(It) was cute,-い adjective past tense,jlpt-n5-adjective-conjunction
<adj>かわい</><adv>くな</><verb>かった</>,(It) was not cute,-い adjective negative past tense,jlpt-n5-adjective-conjunction
<adj>静か</><verb>じゃない</>,It's not quiet (informal),-な adjective negation (informal),jlpt-n5-adjective-conjunction
<adj>静か</><verb>じゃありません</>,It's not quiet (formal speech),-な adjective negation (formal),jlpt-n5-adjective-conjunction
<adj>静か</><verb>だった</>,It was quiet (informal),-な adjective past tense (informal),jlpt-n5-adjective-conjunction
<adj>静か</><verb>でした</>,It was quiet (formal),-な adjective past tense (formal),jlpt-n5-adjective-conjunction
<adj>静か</><verb>じゃなかった</>,It was not quiet (informal),-な adjective negation past tense (informal),jlpt-n5-adjective-conjunction
<adj>静か</><verb>ではありませんでした</>,It was not quiet (formal),-な adjective negation past tense (formal),jlpt-n5-adjective-conjunction
<verb>食べ</><adv>ませ</>,I don't eat,Verb negation,jlpt-n5-adjective-conjunction
<verb>食べ</><adv>ません</><verb>でした</>,I didn't eat,Verb negation past tense,jlpt-n5-adjective-conjunction
<adj>静か</><verb>じゃなかった</>,It was not quiet (informal),-な adjective negation past tense (informal),jlpt-n5-adjective-conjunction
<adj>静か</><verb>ではありませんでした</>,It was not quiet (formal),-な adjective negation past tense (formal),jlpt-n5-adjective-conjunction
<adj>大き</><adv>くない</>,Not big,-い adjective negation,jlpt-n5-adjective-conjunction
<adj>大き</><verb>かった</>,Was big,-い adjective past tense,jlpt-n5-adjective-conjunction
<adj>大き</><adv>くなかった</>,Was not big,-い adjective negation past tense,jlpt-n5-adjective-conjunction
<noun>学校</><obj>は</><adj>大き</><adv>くな</><verb>かった</>,The school was not big,-い adjective negation past tense,jlpt-n5-adjective-conjunction
<adj>小さ</><adv>くない</>,Not small,い adjective negation,jlpt-n5-adjective-conjunction
